X    f(X)    f'(X)    f''(X)    C(X)    absolute_error
1.650000000000001e-01    -4.966122573335440e-01    4.087781174882309e-02    2.432589450682107e-01    3.405294833995166e-16    3.405294833995166e-16
1.660000000000001e-01    -4.965712579058297e-01    4.112103015295299e-02    2.431777846287048e-01    2.921650014650530e-16    2.921650014650530e-16
1.670000000000001e-01    -4.965300153003701e-01    4.136416716101145e-02    2.430961529821875e-01    2.933275695102699e-16    2.933275695102699e-16
1.680000000000001e-01    -4.964885295987967e-01    4.160722230196234e-02    2.430140504707294e-01    2.816367960762832e-16    2.816367960762832e-16
1.690000000000001e-01    -4.964468008832121e-01    4.185019510511254e-02    2.429314774383151e-01    2.428735580518697e-16    2.428735580518697e-16
1.700000000000001e-01    -4.964048292361893e-01    4.209308510011391e-02    2.428484342308416e-01    1.830081856931313e-16    1.830081856931313e-16
1.710000000000001e-01    -4.963626147407713e-01    4.233589181696511e-02    2.427649211961150e-01    1.916689175556764e-16    1.916689175556764e-16
1.720000000000001e-01    -4.963201574804713e-01    4.257861478601359e-02    2.426809386838484e-01    2.410133370214786e-16    2.410133370214786e-16
1.730000000000001e-01    -4.962774575392717e-01    4.282125353795746e-02    2.425964870456593e-01    1.846870151481527e-16    1.846870151481527e-16
1.740000000000001e-01    -4.962345150016241e-01    4.306380760384740e-02    2.425115666350673e-01    1.520971578880500e-16    1.520971578880500e-16
1.750000000000001e-01    -4.961913299524489e-01    4.330627651508856e-02    2.424261778074912e-01    1.809253453958784e-16    1.809253453958784e-16
1.760000000000001e-01    -4.961479024771349e-01    4.354865980344245e-02    2.423403209202469e-01    1.631314366763637e-16    1.631314366763637e-16
1.770000000000001e-01    -4.961042326615389e-01    4.379095700102886e-02    2.422539963325442e-01    1.546526271169944e-16    1.546526271169944e-16
1.780000000000001e-01    -4.960603205919856e-01    4.403316764032772e-02    2.421672044054851e-01    1.745244080532157e-16    1.745244080532157e-16
1.790000000000001e-01    -4.960161663552667e-01    4.427529125418100e-02    2.420799455020604e-01    1.759631501405628e-16    1.759631501405628e-16
1.800000000000001e-01    -4.959717700386413e-01    4.451732737579463e-02    2.419922199871475e-01    1.931095389228119e-16    1.931095389228119e-16
1.810000000000001e-01    -4.959271317298347e-01    4.475927553874035e-02    2.419040282275080e-01    1.929242414776006e-16    1.929242414776006e-16
1.820000000000001e-01    -4.958822515170387e-01    4.500113527695759e-02    2.418153705917844e-01    1.569329984065762e-16    1.569329984065762e-16
1.830000000000001e-01    -4.958371294889110e-01    4.524290612475536e-02    2.417262474504984e-01    1.720390994139736e-16    1.720390994139736e-16
1.840000000000001e-01    -4.957917657345745e-01    4.548458761681416e-02    2.416366591760472e-01    1.168523781785834e-16    1.168523781785834e-16
